date,ticker,sentiment_mean,sentiment_sum,article_count,positive_count,negative_count,positive_pct,negative_pct,sentiment_rolling_3d,sentiment_rolling_7d,sentiment_momentum,open,high,low,close,volume,return_1d,return_5d
2025-12-04,BAC,1.0,2.0,2,2,0,1.0,0.0,1.0,1.0,0.0,53.92974181689325,54.40725983611872,53.72082839504008,53.880001068115234,38529600,0.0012991776807080857,
2025-12-05,BAC,0.0,0.0,4,1,1,0.25,0.25,0.5,0.5,0.0,53.93000030517578,54.83000183105469,53.7400016784668,53.95000076293945,33982200,,
2025-12-03,GLD,-0.25,-1.0,4,1,2,0.25,0.5,-0.25,-0.25,0.0,388.4599914550781,390.1300048828125,385.8299865722656,386.8800048828125,7886800,0.0006461951944911615,
2025-12-04,GLD,0.3333333333333333,1.0,3,2,1,0.6666666666666666,0.3333333333333333,0.04166666666666666,0.04166666666666666,0.0,386.9200134277344,388.0,385.3999938964844,387.1300048828125,6754400,-0.0017823532991587676,
2025-12-05,GLD,0.0,0.0,3,1,1,0.3333333333333333,0.3333333333333333,0.027777777777777773,0.027777777777777773,0.0,389.1199951171875,391.739990234375,386.17999267578125,386.44000244140625,9428800,,
2025-12-05,JPM,0.14285714285714285,1.0,7,1,0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,315.6400146484375,318.4800109863281,314.67999267578125,315.0400085449219,6518100,,
2025-12-05,MSFT,-0.3333333333333333,-1.0,3,0,1,0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,482.5199890136719,483.3999938964844,478.8800048828125,483.1600036621094,22587400,,
2025-12-05,NVDA,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,183.88999938964844,184.66000366210938,180.91000366210938,182.41000366210938,143635500,,
2025-12-04,SPY,0.3333333333333333,1.0,3,1,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,685.2999877929688,685.3699951171875,681.3400268554688,684.3900146484375,61970300,0.0018994838690575833,
2025-12-05,SPY,0.0,0.0,6,0,0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,685.469970703125,688.3900146484375,684.5800170898438,685.6900024414062,79205800,,
2025-12-01,TLT,-0.5,-1.0,2,0,1,0.0,0.5,-0.16666666666666666,-0.125,-0.04166666666666666,88.8499984741211,88.98999786376953,88.70999908447266,88.7699966430664,47086600,0.000450613011603318,
2025-12-02,TLT,0.0,0.0,1,0,0,0.0,0.0,-0.16666666666666666,-0.1,-0.06666666666666665,88.58000183105469,88.95999908447266,88.45999908447266,88.80999755859375,27605700,0.0028149983883858365,
2025-12-04,TLT,0.0,0.0,3,0,0,0.0,0.0,-0.16666666666666666,-0.08333333333333333,-0.08333333333333333,88.91000366210938,88.93000030517578,88.4800033569336,88.58000183105469,25541500,-0.004628625577264733,
2025-12-05,TLT,-1.0,-1.0,1,0,1,0.0,1.0,-0.3333333333333333,-0.21428571428571427,-0.11904761904761904,88.55000305175781,88.55000305175781,88.05000305175781,88.16999816894531,32794000,,
